Designator;Comment;Layer;Footprint;Center-X(mm);Center-Y(mm);Rotation;Description
D66;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;-20;2,3;0;Default Diode
D65;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;-20;102,3;0;Default Diode
D64;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;105;2,3;0;Default Diode
D63;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;105;102,3;0;Default Diode
D62;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;5;2,3;0;Default Diode
D61;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;5;102,3;0;Default Diode
D60;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;130;2,3;0;Default Diode
D59;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;130;102,3;0;Default Diode
D58;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;30;2,3;0;Default Diode
D57;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;30;102,3;0;Default Diode
D56;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;155;2,3;0;Default Diode
D55;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;155;102,3;0;Default Diode
D54;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;55;2,3;0;Default Diode
D53;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;55;102,3;0;Default Diode
D52;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;80;27,3;0;Default Diode
D51;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;80;127,3;0;Default Diode
D50;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;-20;27,3;0;Default Diode
D49;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;-20;127,3;0;Default Diode
D48;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;105;27,3;0;Default Diode
D47;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;105;127,3;0;Default Diode
D46;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;5;27,3;0;Default Diode
D45;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;5;127,3;0;Default Diode
D44;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;130;27,3;0;Default Diode
D43;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;130;127,3;0;Default Diode
D42;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;30;27,3;0;Default Diode
D41;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;30;127,3;0;Default Diode
D40;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;155;27,3;0;Default Diode
D39;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;155;127,3;0;Default Diode
D38;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;55;27,3;0;Default Diode
D37;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;55;127,3;0;Default Diode
D36;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;80;52,3;0;Default Diode
D35;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;80;152,3;0;Default Diode
D34;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;-20;52,3;0;Default Diode
D33;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;-20;152,3;0;Default Diode
D32;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;105;52,3;0;Default Diode
D31;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;105;152,3;0;Default Diode
D30;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;5;52,3;0;Default Diode
D29;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;5;152,3;0;Default Diode
D28;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;130;52,3;0;Default Diode
D27;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;130;152,3;0;Default Diode
D26;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;30;52,3;0;Default Diode
D25;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;30;152,3;0;Default Diode
D24;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;155;52,3;0;Default Diode
D23;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;155;152,3;0;Default Diode
D22;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;55;52,3;0;Default Diode
D21;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;55;152,3;0;Default Diode
D20;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;80;77,3;0;Default Diode
D19;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;80;177,3;0;Default Diode
D18;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;-20;77,3;0;Default Diode
D17;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;-20;177,3;0;Default Diode
D16;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;105;77,3;0;Default Diode
D15;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;105;177,3;0;Default Diode
D14;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;5;77,3;0;Default Diode
D13;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;5;177,3;0;Default Diode
D12;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;130;77,3;0;Default Diode
D11;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;130;177,3;0;Default Diode
D10;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;30;77,3;0;Default Diode
D9;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;30;177,3;0;Default Diode
D8;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;155;77,3;0;Default Diode
D7;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;155;177,3;0;Default Diode
D6;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;55;77,3;0;Default Diode
D5;1N4148W 75V 200mA 1.25Vf@150mA;TopLayer;SOD-323_AC;55;177,3;0;Default Diode
C66;CAP_CERAMIC;TopLayer;C0603_N;154,9999;-2,1001;0;Capacitor Ceramic
C65;CAP_CERAMIC;TopLayer;C0603_N;129,9999;-2,1001;0;Capacitor Ceramic
C64;CAP_CERAMIC;TopLayer;C0603_N;104,9999;-2,1001;0;Capacitor Ceramic
C63;CAP_CERAMIC;TopLayer;C0603_N;79,9999;-2,1001;0;Capacitor Ceramic
C62;CAP_CERAMIC;TopLayer;C0603_N;54,9999;-2,1001;0;Capacitor Ceramic
C61;CAP_CERAMIC;TopLayer;C0603_N;29,9999;-2,1001;0;Capacitor Ceramic
C60;CAP_CERAMIC;TopLayer;C0603_N;4,9999;-2,1001;0;Capacitor Ceramic
C59;CAP_CERAMIC;TopLayer;C0603_N;-20,0001;-2,1001;0;Capacitor Ceramic
C58;CAP_CERAMIC;TopLayer;C0603_N;154,9999;22,8999;0;Capacitor Ceramic
C57;CAP_CERAMIC;TopLayer;C0603_N;129,9999;22,8999;0;Capacitor Ceramic
C56;CAP_CERAMIC;TopLayer;C0603_N;104,9999;22,8999;0;Capacitor Ceramic
C55;CAP_CERAMIC;TopLayer;C0603_N;79,9999;22,8999;0;Capacitor Ceramic
C54;CAP_CERAMIC;TopLayer;C0603_N;54,9999;22,8999;0;Capacitor Ceramic
C53;CAP_CERAMIC;TopLayer;C0603_N;29,9999;22,8999;0;Capacitor Ceramic
C52;CAP_CERAMIC;TopLayer;C0603_N;4,9999;22,8999;0;Capacitor Ceramic
C51;CAP_CERAMIC;TopLayer;C0603_N;-20,0001;22,8999;0;Capacitor Ceramic
C50;CAP_CERAMIC;TopLayer;C0603_N;154,9999;47,8999;0;Capacitor Ceramic
C49;CAP_CERAMIC;TopLayer;C0603_N;129,9999;47,8999;0;Capacitor Ceramic
C48;CAP_CERAMIC;TopLayer;C0603_N;104,9999;47,8999;0;Capacitor Ceramic
C47;CAP_CERAMIC;TopLayer;C0603_N;79,9999;47,8999;0;Capacitor Ceramic
C46;CAP_CERAMIC;TopLayer;C0603_N;54,9999;47,8999;0;Capacitor Ceramic
C45;CAP_CERAMIC;TopLayer;C0603_N;29,9999;47,8999;0;Capacitor Ceramic
C44;CAP_CERAMIC;TopLayer;C0603_N;4,9999;47,8999;0;Capacitor Ceramic
C43;CAP_CERAMIC;TopLayer;C0603_N;-20,0001;47,8999;0;Capacitor Ceramic
C42;CAP_CERAMIC;TopLayer;C0603_N;154,9999;72,8999;0;Capacitor Ceramic
C41;CAP_CERAMIC;TopLayer;C0603_N;129,9999;72,8999;0;Capacitor Ceramic
C40;CAP_CERAMIC;TopLayer;C0603_N;104,9999;72,8999;0;Capacitor Ceramic
